Catalog,Cabinet_section,Cabinet_label,SKU,Cabinet_color,Weight,Cost,Details,Manufacture_date,Image,Quantity,Assemble_cost
"TEAM CABINETS","Base Cabinets","Drawer Base",CW-3DB12,"Charleston White",75,658.8,"3 Drawer Base  12""",,3DB12.PNG,66,25
"TEAM CABINETS","Base Cabinets","Drawer Base",CW-3DB15,"Charleston White",82,735.6,"3 Drawer Base 15""",,3DB15.PNG,96,25
"TEAM CABINETS","Base Cabinets","Drawer Base",CW-3DB18,"Charleston White",89,786,"3 Drawer Base 18""",,3DB18.PNG,95,25
"TEAM CABINETS","Base Cabinets","Drawer Base",CW-3DB21,"Charleston White",95,812.4,"3 Drawer Base  21""",,3DB21.PNG,96,25
"TEAM CABINETS","Base Cabinets","Drawer Base",CW-3DB24,"Charleston White",102,856.8,"3 Drawer Base 24""",,3DB24.PNG,97,25
"TEAM CABINETS","Base Cabinets","Drawer Base",CW-3DB30,"Charleston White",117,992.4,"3 Drawer Base 30""",,3DB30.PNG,99,25
"TEAM CABINETS","Base Cabinets","Drawer Base",CW-3DB36,"Charleston White",132,1092,"3 Drawer Base 36""",,3DB36.PNG,98,25
"TEAM CABINETS","Vanity Cabinets","Vanity Cabinet Drawer Base",CW-3VDB12,"Charleston White",68,643.2,"Vanity 3 Drawer 12""",,3VDB12.PNG,100,25
"TEAM CABINETS","Vanity Cabinets","Vanity Cabinet Drawer Base",CW-3VDB15,"Charleston White",74,699.6,"Vanity 3 Drawer 15""",,3VDB15.PNG,98,25
"TEAM CABINETS","Vanity Cabinets","Vanity Cabinet Drawer Base",CW-3VDB18,"Charleston White",80,756,"Vanity 3 Drawer 18""",,3VDB18.PNG,98,25
"TEAM CABINETS",Moldings,Mouldings,CW-ACM8,"Charleston White",1,170.4,"Angle Crown Moulding 96"" x 3 5/8"" x 2 1/2""",,ACM8.PNG,100,0
"TEAM CABINETS",Moldings,Mouldings,CW-ALRM,"Charleston White",1,264,"Angle Light Trail Moulding 96"" x 1 9/16"" x 2 1/4""",,ALRM.PNG,98,0
"TEAM CABINETS","Wall Cabinets","Wall Accessory Cabinet",CW-AW1230,"Charleston White",32,303.6,"Angle Wall Cabinet  ",,AW1230.PNG,96,18
"TEAM CABINETS","Wall Cabinets","Wall Accessory Cabinet",CW-AW1236,"Charleston White",36,331.2,"Angle Wall Cabinet",,AW1236.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Accessory Cabinet",CW-AW1242,"Charleston White",41,357.6,"Angle Wall Cabinet",,AW1242.PNG,100,18
"TEAM CABINETS","Base Cabinets","Base 12 Cabinet",CW-B12,"Charleston White",51,439.2,"Single Door Base 12""",,B12.PNG,100,20
"TEAM CABINETS","Base Cabinets","Base 15 Cabinet",CW-B15,"Charleston White",57,495.6,"Single Door Base 15""",,B15.PNG,98,20
"TEAM CABINETS","Base Cabinets","Base 18 Cabinet",CW-B18,"Charleston White",62,536.4,"Single Door Base 18""",,B18.PNG,98,20
"TEAM CABINETS","Base Cabinets","Base 21 Cabinet",CW-B21,"Charleston White",66,590.4,"Single Door Base 21""",,B21.PNG,98,20
"TEAM CABINETS","Base Cabinets","Base 24 Cabinet",CW-B24,"Charleston White",72,644.4,"Double Door Base 24""",,B24.PNG,97,25
"TEAM CABINETS","Base Cabinets","Base 27 Cabinet",CW-B27,"Charleston White",78,714,"Double Door Base 27""",,B27.PNG,99,25
"TEAM CABINETS","Base Cabinets","Base 30 Cabinet",CW-B30,"Charleston White",89,831.6,"Double Door Double Drawer 30""",,B30.PNG,100,25
"TEAM CABINETS","Base Cabinets","Base 33 Cabinet",CW-B33,"Charleston White",94,882,"Double Door Double Drawer 33""",,B33.PNG,100,25
"TEAM CABINETS","Base Cabinets","Base 36 Cabinet",CW-B36,"Charleston White",100,938.4,"Double Door Double Drawer 36""",,B36.PNG,100,25
"TEAM CABINETS","Base Cabinets","Base 42 Cabinet",CW-B42,"Charleston White",109,1004.4,"Double Door Double Drawer 42""",,B42.PNG,100,25
"TEAM CABINETS",Moldings,Mouldings,CW-BAM,"Charleston White",1,46.8,"Moulding 96"" x 3/4"" x 3/16""",,BAM.PNG,100,0
"TEAM CABINETS","Base Cabinets","Base Corner Cabinet",CW-BBC36,"Charleston White",70,591.6,"Blind Base Corner 36""",,BBC36.PNG,100,25
"TEAM CABINETS","Base Cabinets","Base Corner Cabinet",CW-BBC39,"Charleston White",79,720,"Blind Base Corner 39""",,BBC39.PNG,100,25
"TEAM CABINETS","Base Cabinets","Base Corner Cabinet",CW-BBC42,"Charleston White",87,842.4,"Blind Base Corner 42""",,BBC42.PNG,100,25
"TEAM CABINETS",Panels,"Bead Board Panel",CW-BBFPV4296,"Charleston White",47,0,"Bead Board Panel 42X96X1/4",,BBFPV4296.PNG,0,0
"TEAM CABINETS",Moldings,Mouldings,CW-BCM8,"Charleston White",7,225.6,"Decorative Crown Moulding 96"" x 3"" x 2""",,DCM.PNG,100,0
"TEAM CABINETS",Panels,Panel,CW-BDEP,"Charleston White",18,289.2,"Panel 23"" 1/2 x 29 x 3/4""",,BDEP.PNG,100,0
"TEAM CABINETS","Base Cabinets","Base 24 Cabinet",CW-BEC24,"Charleston White",76,559.2,"Base End 24 x 34 1/2 x 24",,BEC24.PNG,99,0
"TEAM CABINETS","Base Cabinets","Base Accessory Cabinet",CW-BES12,"Charleston White",52,357.6,"Base End Shelf Cabinet 12"" x 34 1/2"" x 24""",,BES12.PNG,100,0
"TEAM CABINETS","Base Cabinets","Base Corner Cabinet",CW-ERB33,"Charleston White",89,756,"Lazy Susan 33""",,BER33.PNG,100,25
"TEAM CABINETS","Base Cabinets","Base Corner Cabinet",CW-ERB36,"Charleston White",99,841.2,"Lazy Susan 36""",,BER36.PNG,100,30
"TEAM CABINETS","Base Cabinets","Base Spice Drawer",CW-BSDC6,"Charleston White",55,469.2,"Base Spice Drawer 6""",,BSDC6.PNG,100,25
"TEAM CABINETS",Panels,"Fillers & Panels",CW-BSV,"Charleston White",4,62.4,"Panel --Only finish on one side",,BSV.PNG,100,0
"TEAM CABINETS","Base Cabinets","Base Waste Basket Cabinet",CW-BWB18,"Charleston White",75,711.6,"Base Waste Basket 18""",,BWB18.PNG,99,25
"TEAM CABINETS",Accessories,Corbels,CW-CB9,"Charleston White",3,51.6,"Corbels 9"" x 9"" x 9""",,CB9.PNG,100,0
"TEAM CABINETS",Accessories,Corbels,CW-CBT,"Charleston White",6,219.6,"Corbels  3"" 1/2 x  13"" 1/2 x 5"" 7/8",,CBT.PNG,100,0
"TEAM CABINETS",Accessories,"Decorative Legs",CW-CLDL,"Charleston White",10,320.4,"Decorative Legs 3"" x 34"" 1/2 x 3",,CLDL.PNG,100,0
"TEAM CABINETS",Moldings,"Crown Moulding",CW-CM8,"Charleston White",4,186,"Crown 96"" x 1"" 3/4 x 1"" 3/16",,CM8.PNG,95,0
"TEAM CABINETS",Moldings,Mouldings,CW-COV,"Charleston White",10,284.4,"Cove Crown Moulding 96"" x 3 5/8"" x 2 1/2""",,COV.PNG,100,0
"TEAM CABINETS","Base Cabinets","Corner Sink Base",CW-CSB36,"Charleston White",96,746.4,"Corner Sink Base 36""",,CSB36.PNG,100,25
"TEAM CABINETS","Base Cabinets","Sink Base 42""",CW-DCSF42,"Charleston White",29,285.6,"Sink Base 42""",,DCWF42.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Corner Cabinet",CW-DCW2412GD,"Charleston White",36,273.6,"Glass Door Diagonal Wall 24x12",,DCW2430GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Corner Cabinet",CW-DCW2430,"Charleston White",70,594,"Diagonal Corner Wall 24x30",,DCW2430.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Corner Cabinet",CW-DCW2430GD,"Charleston White",70,625.2,"Glass Door Diagonal Wall 24x30",,DCW2430GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Corner Cabinet",CW-DCW2436,"Charleston White",77,669.6,"Diagonal Corner Wall 24x36",,DCW2436.PNG,98,20
"TEAM CABINETS","Wall Cabinets","Corner Cabinet",CW-DCW2436GD,"Charleston White",77,711.6,"Glass Door Diagonal Wall 24x36",,DCW2436GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Corner Cabinet",CW-DCW2442,"Charleston White",92,777.6,"Diagonal Corner Wall 24x42",,DCW2442.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Corner Cabinet",CW-DCW2442GD,"Charleston White",92,828,"Glass Door Diagonal Wall 24x42",,DCW2442GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Corner Cabinet",CW-DCW2712GD,"Charleston White",56,291.6,"Glass Door Diagonal Cabinet 27x12",,DCW2736GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Corner Cabinet",CW-DCW2736,"Charleston White",110,703.2,"Diagonal Corner Cabinet",,DCW2736.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Corner Cabinet",CW-DCW2742,"Charleston White",110,847.2,"Diagonal Corner Cabinet",,DCW2742.PNG,100,20
"TEAM CABINETS","Base Cabinets","Base 18 Cabinet",CW-DFB18,"Charleston White",68,607.2,"Drawer File Base 18""",,DFB18.PNG,100,20
"TEAM CABINETS",Moldings,Mouldings,CW-DMTIS,"Charleston White",1,46.8,"Dentil Moulding 96"" x 11/16"" x 3/8""",,DMTIS.PNG,99,0
"TEAM CABINETS",Panels,Panel,CW-DWR3,"Charleston White",16,162,"Panel 3"" x 34"" 1/4 x 24""",,DWR3.PNG,99,0
"TEAM CABINETS",Fillers,Filler,CW-F342,"Charleston White",3,46.8,"Filler 3"" x 42 x 3/4""",,F342.PNG,82,0
"TEAM CABINETS",Fillers,Filler,CW-F396,"Charleston White",6,157.2,"Filler 3"" x 96"" x 3/4""",,F396.PNG,100,0
"TEAM CABINETS",Fillers,Filler,CW-F642,"Charleston White",6,92.4,"Filler 6"" x 42"" x 3/4""",,F642.PNG,95,0
"TEAM CABINETS",Fillers,Filler,CW-F696,"Charleston White",12,234,"Filler 6"" x 96"" x 3/4""",,F696.PNG,100,0
"TEAM CABINETS",Moldings,Mouldings,CW-FBM,"Charleston White",11,213.6,"Moulding 96"" x 4"" 15/16 x 3/4""",,FBM.PNG,100,0
"TEAM CABINETS",Fillers,Filler,CW-FF396,"Charleston White",7,175.2,"Filler 3"" x 96"" x 3/4""",,FF396.PNG,100,0
"TEAM CABINETS",Accessories,"Decorative Legs",CW-FLDL,"Charleston White",10,331.2,"Decorative Legs 3"" x 34"" 1/2 x 3",,FLDL.PNG,100,0
"TEAM CABINETS",Panels,Panel,CW-FPV4296,"Charleston White",47,202.8,"Panel 42x96x1/4 - Only finished on 1 side",,FPV4296.PNG,99,0
"TEAM CABINETS","Base Cabinets","Farm Sink Base 36""",CW-FSB36,"Charleston White",75,712.8,"Farm Sink Base 36""",,FSB36.PNG,100,25
"TEAM CABINETS",Moldings,"Light Rail Moulding",CW-LRM8,"Charleston White",5,200.4,"Light Rail Molding 96 x 1 3/16 x 3/4",,LRM.PNG,98,0
"TEAM CABINETS","Base Cabinets","Base Corner Cabinet",CW-LSB33-C,"Charleston White",89,0,"Lazy Susan 33"" - Chrome Basket",,LSB33.PNG,100,25
"TEAM CABINETS","Base Cabinets","Base Corner Cabinet",CW-LSB33-W,"Charleston White",92,0,"Lazy Susan 33"" - Wood Basket",,LSB33.PNG,100,25
"TEAM CABINETS","Base Cabinets","Base Corner Cabinet",CW-LSB36-C,"Charleston White",99,0,"Lazy Susan 36"" - Chrome Basket",,LSB36.PNG,100,25
"TEAM CABINETS","Base Cabinets","Base Corner Cabinet",CW-LSB36-W,"Charleston White",102,0,"Lazy Susan 36"" - Wood Basket",,LSB36.PNG,0,25
"TEAM CABINETS","Base Cabinets","Base Microwave Cabinet",CW-MO3030,"Charleston White",51,685.2,"Microwave Oven Cabinet 30""",,MO3030.PNG,100,25
"TEAM CABINETS","Base Cabinets","Base Microwave Cabinet",CW-MO3036,"Charleston White",59,793.2,"Microwave Oven Cabinet 36""",,MO3036.PNG,100,25
"TEAM CABINETS","Base Cabinets","Base Microwave Cabinet",CW-MO3042,"Charleston White",66,934.8,"Microwave Oven Cabinet 42""",,MO3042.PNG,100,25
"TEAM CABINETS","Tall Cabinets","Oven Cabinets",CW-O308424,"Charleston White",200,1810.8,"Oven Cabinets 30 x 84 x 24",,O338424.PNG,97,30
"TEAM CABINETS","Tall Cabinets","Oven Cabinets",CW-O309024,"Charleston White",215,1965.6,"Oven Cabinets 30 x 90 x 24",,O339024.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Oven Cabinets",CW-O309624,"Charleston White",233,2134.8,"Oven Cabinets 30 x 96 x 24",,O339624.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Oven Cabinets",CW-O338424,"Charleston White",215,1975.2,"Oven Cabinets 33 x 84 x 24",,O338424.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Oven Cabinets",CW-O339024,"Charleston White",233,2070,"Oven Cabinets 33 x 90 x 24",,O339024.PNG,99,30
"TEAM CABINETS","Tall Cabinets","Oven Cabinets",CW-O339624,"Charleston White",242,2254.8,"Oven Cabinets 33 x 96 x 24",,O339624.PNG,99,30
"TEAM CABINETS",Moldings,Mouldings,CW-OCM8,"Charleston White",2,43.2,"Moulding 96"" x 3/4"" x 3/4""",,OCM.PNG,100,0
"TEAM CABINETS","Wall Cabinets","Wall Accessory Cabinets",CW-OE630,"Charleston White",16,162,"Open End Shelves",,OE630.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Accessory Cabinets",CW-OE636,"Charleston White",19,178.8,"Open End Shelves",,OE636.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Accessory Cabinets",CW-OE642,"Charleston White",21,196.8,"Open End Shelves",,OE642.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Accessory Cabinets",CW-PR3015,"Charleston White",30,462,"Wall Plate Rack",,PR3015.PNG,100,18
"TEAM CABINETS",Moldings,Mouldings,CW-RCM4S,"Charleston White",8,205.2,"Inset Crown Moulding 96"" x 4 3/16"" x 7/8""",,RCMS4S.PNG,100,0
"TEAM CABINETS",Panels,"Refrigerator Panel",CW-REPV2496,"Charleston White",41,284.4,"Refrigerator Panel 1"" 1/2x96x 24",,REPV2496.PNG,99,0
"TEAM CABINETS",Panels,"Refrigerator Panel",CW-REPV2796,"Charleston White",45,348,"Refrigeraor Panel 1"" 1/2x96x 27",,REPV2496.PNG,100,0
"TEAM CABINETS",Moldings,Rope,CW-ROPE,"Charleston White",1,56.4,"ROPE 96"" x 3/4"" x 3/8""",,ROPE.PNG,100,0
"TEAM CABINETS",Accessories,"Roll Out Tray",CW-RS18,"Charleston White",11,147.6,"Roll Out Tray - Fits B18",,RS18.PNG,100,15
"TEAM CABINETS",Accessories,"Roll Out Tray",CW-RS21,"Charleston White",12,159.6,"Roll Out Tray - Fits B21",,RS21.PNG,100,15
"TEAM CABINETS",Accessories,"Roll Out Tray",CW-RS24,"Charleston White",14,169.2,"Roll Out Tray - Fits B24",,RS24.PNG,100,15
"TEAM CABINETS",Accessories,"Roll Out Tray",CW-RS27,"Charleston White",15,176.4,"Roll Out Tray - Fits B27",,RS27.PNG,100,15
"TEAM CABINETS",Accessories,"Roll Out Tray",CW-RS30,"Charleston White",16,187.2,"Roll Out Tray - Fits B30",,RS30.PNG,100,15
"TEAM CABINETS",Accessories,"Roll Out Tray",CW-RS33,"Charleston White",17,194.4,"Roll Out Tray - Fits B33",,RS33.PNG,100,15
"TEAM CABINETS",Accessories,"Roll Out Tray",CW-RS36,"Charleston White",18,205.2,"Roll Out Tray - Fits B36",,RS36.PNG,100,15
"TEAM CABINETS",Panels,Panel,CW-S2496,"Charleston White",37,273.6,"Panel 24x96x3/4 Finished on both sides",,S2496.PNG,99,0
"TEAM CABINETS","Base Cabinets","Sink Base 27""",CW-SB27,"Charleston White",60,562.8,"Sink Base 27""",,SB30.PNG,100,20
"TEAM CABINETS","Base Cabinets","Sink Base 30""",CW-SB30,"Charleston White",64,615.6,"Sink Base 30""",,SB30.PNG,99,20
"TEAM CABINETS","Base Cabinets","Sink Base 33""",CW-SB33,"Charleston White",70,656.4,"Sink Base 33""",,SB33.PNG,100,20
"TEAM CABINETS","Base Cabinets","Sink Base 36""",CW-SB36,"Charleston White",76,712.8,"Sink Base 36""",,SB36.PNG,98,20
"TEAM CABINETS","Base Cabinets","Sink Base 42""",CW-SBF4242,"Charleston White",23,114,"Sink Base Diagonal Floor 42x42",,SBF4242.PNG,100,25
"TEAM CABINETS",Moldings,"Scribe Molding (SCR) (SM8)",CW-SM8,"Charleston White",1,0,"Moulding 96 x 3/4 x 1/4",,SCR.PNG,0,0
"TEAM CABINETS",Accessories,"Stem Glass Holder",CW-SGH30,"Charleston White",10,154.8,"Stem Glass Holder 30"" x 1"" 1/2 x 12""",,SGH30.PNG,100,25
"TEAM CABINETS",Moldings,Mouldings,CW-SHM,"Charleston White",1,40.8,"Moulding 96 x 3/4 x 1/2",,SHM.PNG,94,0
"TEAM CABINETS","Base Cabinets","Base Accessory Cabinet",CW-SPB6,"Charleston White",32,462,"Base Spice Pull Cabinet 6"" ",,SPB6.PNG,100,25
"TEAM CABINETS","Base Cabinets","Base Accessory Cabinet",CW-SPB9,"Charleston White",36,524.4,"Base Spice Pull Cabinet 9"" ",,SPB9.PNG,100,25
"TEAM CABINETS",Panels,"Panel Door",CW-TDEP2484,"Charleston White",30,676.8,"Tall Door End Panel 24x84",,TDEP2484.PNG,100,0
"TEAM CABINETS",Panels,"Panel Door",CW-TDEP2490,"Charleston White",30,714,"Tall Door End Panel 24x90",,TDEP2490.PNG,100,0
"TEAM CABINETS",Panels,"Panel Door",CW-TDEP2496,"Charleston White",30,788.4,"Tall Door End Panel 24x96",,TDEP2496.PNG,100,0
"TEAM CABINETS",Moldings,Mouldings,CW-TKC,"Charleston White",2,46.8,"Toe Kit 96 x 4 1/4 x 1/4",,TKC.PNG,84,0
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",CW-U188424,"Charleston White",136,1287.6,"Utility Cabinet 2 Doors",,U188424.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",CW-U189024,"Charleston White",143,1324.8,"Utility Cabinet 2 Doors",,U189024.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",CW-U189624,"Charleston White",150,1388.4,"Utility Cabinet 2 Doors",,U189624.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",CW-U248424,"Charleston White",165,1544.4,"Utility Cabinet 4 Doors",,U248424.PNG,98,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",CW-U249024,"Charleston White",172,1602,"Utility Cabinet 4 Doors",,U249024.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",CW-U249624,"Charleston White",180,1681.2,"Utility Cabinet 4 Doors",,U249624.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",CW-U308424,"Charleston White",194,1964.4,"Utility Cabinet 4 Doors",,U309024.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",CW-U309024,"Charleston White",201,2116.8,"Utility Cabinet 4 Doors",,U309024.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",CW-U309624,"Charleston White",210,2277.6,"Utility Cabinet 4 Doors",,U309624.PNG,99,30
"TEAM CABINETS",Panels,Panel,CW-USV2496,"Charleston White",10,126,"Panel Finished on 1 side 24x96x1/4",,USV2496.PNG,100,0
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",CW-V3021DL,"Charleston White",96,946.8,"Vanity Combo V3021DL",,V3021DL.PNG,100,25
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",CW-V3021DR,"Charleston White",96,946.8,"Vanity Combo V3021DR",,V3021DR.PNG,100,25
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",CW-V3621DL,"Charleston White",106,991.2,"Vanity Combo V3621DL",,V3621DL.PNG,100,25
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",CW-V3621DR,"Charleston White",106,991.2,"Vanity Combo V3621DR",,V3621DR.PNG,100,25
"TEAM CABINETS",Accessories,Valance,CW-VA30,"Charleston White",3,127.2,"Valance 30"" x 6"" x 3/4""",,VA48.PNG,99,0
"TEAM CABINETS",Accessories,Valance,CW-VA36,"Charleston White",4,148.8,"Valance 36"" x 6"" x 3/4""",,VA48.PNG,100,0
"TEAM CABINETS",Accessories,Valance,CW-VA42,"Charleston White",5,175.2,"Valance 42"" x 6"" x 3/4""",,VA48.PNG,100,0
"TEAM CABINETS",Accessories,Valance,CW-VA48,"Charleston White",6,189.6,"Valance 48"" x 6"" x 3/4""",,VA48.PNG,100,0
"TEAM CABINETS","Vanity Cabinets","Vanity Knee Drawer",CW-VKD36,"Charleston White",29,212.4,"Vanity Knee Drawer 36""",,VKD36.PNG,99,25
"TEAM CABINETS","Vanity Cabinets","Vanity Sink Cabinet",CW-VS24,"Charleston White",56,495.6,"Vanity Sink - 2 Door 2 Drawer Front",,VS24.PNG,97,25
"TEAM CABINETS","Vanity Cabinets","Vanity Sink Cabinet",CW-VS27,"Charleston White",60,531.6,"Vanity Sink - 2 Door 2 Drawer Front",,VS27.PNG,96,25
"TEAM CABINETS","Vanity Cabinets","Vanity Sink Cabinet",CW-VS30,"Charleston White",64,571.2,"Vanity Sink - 2 Door 2 Drawer Front",,VS30.PNG,99,25
"TEAM CABINETS","Vanity Cabinets","Vanity Sink Cabinet",CW-VS36,"Charleston White",73,642,"Vanity Sink - 2 Door 2 Drawer Front",,VS36.PNG,96,25
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",CW-VSD36,"Charleston White",85,880.8,"Vanity Combo Base 36""",,VSD36.PNG,100,25
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",CW-VSD42,"Charleston White",95,980.4,"Vanity Combo Base 42""",,VSD36.PNG,100,25
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",CW-VSD48,"Charleston White",104,1070.4,"Vanity Combo Base 48""",,VSD36.PNG,100,25
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",CW-W0930,"Charleston White",28,236.4,"30"" High Cabinet 1 Door, 2  Shelves",,W0930.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",CW-W0936,"Charleston White",32,258,"36"" High Cabinet 1 Door, 2  Shelves",,W0936.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",CW-W0942,"Charleston White",37,301.2,"42"" High Cabinet 1 Door, 3 Shelves",,W0942.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",CW-W1212GD,"Charleston White",8,140.4,"Glass Door Cabinet - Single Door",,W1212GD.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",CW-W1230,"Charleston White",31,266.4,"30"" High Cabinet 1 Door, 2 Shelves",,W1230.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",CW-W1236,"Charleston White",36,303.6,"36"" High Cabinet 1 Door, 2 Shelves",,W1236.PNG,99,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",CW-W1242,"Charleston White",41,350.4,"42"" High Cabinet 1 Door, 3 Shelves",,W1242.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",CW-W1512GD,"Charleston White",10,157.2,"Glass Door Cabinet - Single Door",,W1512GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",CW-W1530,"Charleston White",36,307.2,"30"" High Cabinet 1 Door, 2 Shelves",,W1530.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",CW-W1530GD,"Charleston White",36,348,"Glass Door Cabinet - Single Door",,W1530GD.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",CW-W1536,"Charleston White",41,351.6,"36"" High Cabinet 1 Door, 2 Shelves",,W1536.PNG,99,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",CW-W1536GD,"Charleston White",41,396,"Glass Door Cabinet - Single Door",,W1536GD.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",CW-W1542,"Charleston White",48,411.6,"42"" High Cabinet 1 Door, 3 Shelves",,W1542.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",CW-W1542GD,"Charleston White",47,456,"Glass Door Cabinet - Single Door",,W1542GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",CW-W1812GD,"Charleston White",12,174,"Glass Door Cabinet - Single Door",,W1812GD.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",CW-W1830,"Charleston White",41,356.4,"30"" High Cabinet 1 Door, 2 Shelves",,W1830.PNG,99,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",CW-W1830GD,"Charleston White",40,405.6,"Glass Door Cabinet - Single Door",,W1830GD.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",CW-W1836,"Charleston White",46,411.6,"36"" High Cabinet 1 Door, 2 Shelves",,W1836.PNG,99,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",CW-W1836GD,"Charleston White",44,468,"Glass Door Cabinet - Single Door",,W1836GD.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",CW-W1842,"Charleston White",54,474,"42"" High Cabinet 1 Door, 3 Shelves",,W1842.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",CW-W1842GD,"Charleston White",53,536.4,"Glass Door Cabinet - Single Door",,W1842GD.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",CW-W2112GD,"Charleston White",14,193.2,"Glass Door Cabinet - Single Door",,W2112GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",CW-W2130,"Charleston White",45,394.8,"30"" High Cabinet 1 Door, 2 Shelves",,W2130.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",CW-W2136,"Charleston White",51,463.2,"36"" High Cabinet 1 Door, 2 Shelves",,W2136.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",CW-W2142,"Charleston White",60,519.6,"42"" High Cabinet 1 Door, 3 Shelves",,W2142.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",CW-W2412GD,"Charleston White",16,235.2,"Glass Door Cabinet - Single Door",,W2412GD.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 18"" H",CW-W2418,"Charleston White",28,367.2,"18"" High Cabinet 1 Door, 2 Shelves",,W2418,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",CW-W2430,"Charleston White",52,462,"30"" High Cabinet 2 Doors, - 2 Shelves",,W2430.PNG,98,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",CW-W2430GD,"Charleston White",51,519.6,"Glass Wall Door Cabinet - Double Door",,W2430GD.PNG,100,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",CW-W2436,"Charleston White",59,538.8,"36"" High Cabinet Double Door - 2 Shelves",,W2436.PNG,98,18
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",CW-W2436GD,"Charleston White",59,537.6,"Glass Wall Door Cabinet - Double Door",,W2436GD.PNG,100,18
